epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.104,2.18448,3.34415,1.73676,0.00317,0.95161,0.4528,0.14467,1.63673,3.8146,1.35198,0.000647619,0.000647619,0.000647619
2,32.8302,1.93797,2.10736,1.57622,0.06606,0.58065,0.0898,0.04206,1.80937,3.40169,1.48992,0.0012926,0.0012926,0.0012926
3,47.5322,1.93376,1.78694,1.58654,0.96963,0.51496,0.62219,0.26457,2.00809,2.58426,1.60931,0.00191558,0.00191558,0.00191558
4,62.4231,1.90027,1.62365,1.60883,0.83529,0.73622,0.86117,0.39043,1.91382,1.70703,1.62183,0.001901,0.001901,0.001901
5,79.0405,1.93236,1.43743,1.63283,0.92557,0.96774,0.98711,0.43658,1.86253,1.57911,1.61063,0.001868,0.001868,0.001868
6,94.3652,1.87725,1.3253,1.60636,0.96706,0.94704,0.98579,0.44914,1.84187,1.11113,1.59396,0.001835,0.001835,0.001835
7,109.545,1.86779,1.24282,1.6318,0.93641,0.96774,0.96705,0.444,1.76223,1.09135,1.55682,0.001802,0.001802,0.001802
8,124.524,1.89992,1.20228,1.6246,0.97124,0.90323,0.97437,0.46798,1.80645,0.95715,1.53849,0.001769,0.001769,0.001769
9,139.876,1.84634,1.11867,1.61147,0.93688,0.95763,0.94731,0.42811,1.90343,0.9929,1.6605,0.001736,0.001736,0.001736
10,155.305,1.88735,1.11018,1.60263,0.94798,0.96774,0.97923,0.45648,1.84528,0.9314,1.57889,0.001703,0.001703,0.001703
11,171.413,1.88256,1.09704,1.60073,0.93873,0.98855,0.98851,0.47447,1.76153,0.88706,1.5178,0.00167,0.00167,0.00167
12,186.656,1.83287,1.04749,1.59051,0.95059,0.93103,0.95946,0.44108,1.79495,0.90288,1.51844,0.001637,0.001637,0.001637
13,201.83,1.87044,1.04354,1.59971,0.93249,0.98387,0.97068,0.46,1.8208,1.07545,1.59051,0.001604,0.001604,0.001604
14,216.371,1.82415,0.98155,1.6108,0.97996,0.98387,0.97264,0.4753,1.80167,0.79081,1.55497,0.001571,0.001571,0.001571
15,231.513,1.85158,0.99703,1.61611,0.99045,1,0.995,0.46825,1.77759,0.80436,1.56076,0.001538,0.001538,0.001538
